Results:
python3 model_dwell_time/tune_lgbm_unstable.py \
  --csv /home/ubuntu/cs297/ns-allinone-3.36/ns-3.36/Datasets/ho_train_45k_labeled.csv \
  --outdir /home/ubuntu/cs297/ns-allinone-3.36/ns-3.36/model_dwell_time/model_results/lgbm_45k_tuned \
  --test-size 0.2 \
  --random-state 42
trial=40/1728 pr_auc=0.200691 roc_auc=0.862535 f1@0.5=0.214470 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 1.0, 'colsample_bytree': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=17.7605
trial=41/1728 pr_auc=0.201674 roc_auc=0.861317 f1@0.5=0.192951 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 1.0, 'colsample_bytree': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=23.6807
trial=42/1728 pr_auc=0.200196 roc_auc=0.862773 f1@0.5=0.175238 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 1.0, 'colsample_bytree': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=29.6009
trial=43/1728 pr_auc=0.200327 roc_auc=0.862483 f1@0.5=0.214869 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=17.7605
trial=44/1728 pr_auc=0.200114 roc_auc=0.862936 f1@0.5=0.194434 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=23.6807
trial=45/1728 pr_auc=0.202749 roc_auc=0.863568 f1@0.5=0.178024 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=29.6009
trial=46/1728 pr_auc=0.202309 roc_auc=0.862455 f1@0.5=0.211663 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=17.7605
trial=47/1728 pr_auc=0.203405 roc_auc=0.863538 f1@0.5=0.194203 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=23.6807
trial=48/1728 pr_auc=0.202717 roc_auc=0.862967 f1@0.5=0.176414 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=29.6009
trial=49/1728 pr_auc=0.198691 roc_auc=0.860220 f1@0.5=0.210349 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=17.7605
trial=50/1728 pr_auc=0.198857 roc_auc=0.860369 f1@0.5=0.190543 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=23.6807
trial=51/1728 pr_auc=0.199702 roc_auc=0.859846 f1@0.5=0.172243 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=29.6009
trial=52/1728 pr_auc=0.201182 roc_auc=0.861049 f1@0.5=0.209322 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=17.7605
trial=53/1728 pr_auc=0.200773 roc_auc=0.858633 f1@0.5=0.187414 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=23.6807
trial=54/1728 pr_auc=0.202525 roc_auc=0.859414 f1@0.5=0.171813 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=29.6009
trial=55/1728 pr_auc=0.199639 roc_auc=0.862311 f1@0.5=0.212987 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 0.8, 'colsample_bytree': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=17.7605
trial=56/1728 pr_auc=0.198655 roc_auc=0.861452 f1@0.5=0.192529 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 0.8, 'colsample_bytree': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=23.6807
trial=57/1728 pr_auc=0.200293 roc_auc=0.859373 f1@0.5=0.171996 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 0.8, 'colsample_bytree': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=29.6009
trial=58/1728 pr_auc=0.200080 roc_auc=0.861666 f1@0.5=0.211201 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 0.8, 'colsample_bytree': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=17.7605
trial=59/1728 pr_auc=0.200327 roc_auc=0.859820 f1@0.5=0.192184 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 0.8, 'colsample_bytree': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=23.6807
trial=60/1728 pr_auc=0.201993 roc_auc=0.859981 f1@0.5=0.173640 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 0.8, 'colsample_bytree': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=29.6009
trial=61/1728 pr_auc=0.198691 roc_auc=0.860220 f1@0.5=0.210349 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 1.0, 'colsample_bytree': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=17.7605
trial=62/1728 pr_auc=0.198857 roc_auc=0.860369 f1@0.5=0.190543 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 1.0, 'colsample_bytree': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=23.6807
trial=63/1728 pr_auc=0.199702 roc_auc=0.859846 f1@0.5=0.172243 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 1.0, 'colsample_bytree': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=29.6009
trial=64/1728 pr_auc=0.201182 roc_auc=0.861049 f1@0.5=0.209322 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.05, 'n_estimators': 200, 'subsample': 1.0, 'colsample_bytree': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=17.7605
